ds,yhat,yhat_lower,yhat_upper
2023-12-18,40870.348519574094,36763.390968401705,44799.444534576265
2023-12-19,40830.21605273848,36667.44370331934,45083.73019603947
2023-12-20,40988.51190902286,36750.46676593284,45321.93211933025
2023-12-21,41075.16661717773,37027.26407447864,45370.46237129213
2023-12-22,41277.44358379763,36967.294230912565,45059.265225770345
2023-12-23,41406.19685967148,36895.86965441729,45160.61400304721
2023-12-24,41592.383250832594,37465.63079339097,45897.637479911245
2023-12-25,41966.90940769767,37681.77533155192,45998.49106212631
2023-12-26,41926.77694357447,37796.70335951718,46326.07894142965
2023-12-27,42085.07280257135,37888.9872040819,46333.44126568415
2023-12-28,42171.72751343872,38089.29277873479,46183.693550957185
2023-12-29,42374.00448277052,38218.98276057694,46449.072117931
2023-12-30,42502.75776135793,38264.159208846715,46450.31098584085
2023-12-31,42688.944155231344,38626.866212526125,46585.692839298834
2024-01-01,43063.47031480856,39026.776925135404,47073.62148061864
2024-01-02,43023.3378506858,38988.347466256055,47235.78605621278
2024-01-03,43181.633709682326,39078.9925996189,47137.80679758336
2024-01-04,43268.28842054966,39128.862936301746,47198.33802023621
2024-01-05,43470.56538988095,39242.015761146475,47491.93196096134
2024-01-06,43599.31866846843,39534.29477649023,48091.40713896153
2024-01-07,43785.505062342214,39704.86365001331,48083.30819471678
2024-01-08,44160.03122191933,39677.021347984104,48075.91512382033
2024-01-09,44119.89875779653,40114.71104976086,48154.84623740708
2024-01-10,44278.19461679285,39995.77265644807,48006.49495567308
2024-01-11,44364.84932766023,40330.79618072672,48332.724024463394
2024-01-12,44567.12629699211,40720.112186141676,48651.32517912204
2024-01-13,44695.87957557933,40789.13262032832,49188.28066181054
2024-01-14,44882.065969453404,40778.73095350413,48825.75036267453
2024-01-15,45256.592129030236,41022.04037584681,49465.917223776196
2024-01-16,45320.321395071696,41132.67558646015,49797.76867633591
2024-01-17,45582.47898423263,41499.112981087506,50060.0056440739
2024-01-18,45772.99542526437,41729.47720255376,49893.719800679144
2024-01-19,46079.13412476086,41901.96416829105,49894.1195189436
2024-01-20,46311.749133512254,42394.24662515224,50225.43102480279
2024-01-21,46601.79725755035,42860.60458815383,50621.24508276753
2024-01-22,47080.1851472919,43119.145440190645,51272.58891133622
2024-01-23,47143.914413333114,42762.40499532658,51274.51656520705
2024-01-24,47406.07200249433,43344.87144119108,51391.74474912589
2024-01-25,47596.58844352571,43415.70434678422,51508.579300649406
2024-01-26,47902.7271430223,44328.395238307145,52179.095351209675
2024-01-27,48135.34215177396,43996.08716289152,52384.94589364864
2024-01-28,48425.390275812315,44091.63312332797,52554.14960509318
2024-01-29,48903.77816555341,44714.6349836069,52918.692184343745
2024-01-30,48967.507431594575,44691.98628308288,53105.02637544038
2024-01-31,49229.66502075584,44957.56224136785,53354.82391187723
2024-02-01,49420.18146178799,45234.409349648886,53651.81240148519
2024-02-02,49726.320161283766,45691.39250377665,53713.59404354037
2024-02-03,49958.93517003524,45996.34136372906,54039.74531773865
2024-02-04,50248.983294073296,46183.374791123846,54259.426503367366
2024-02-05,50727.37118381492,46582.62916367828,54719.11635360265
2024-02-06,50791.10044985606,46465.99832986811,54961.80689075872
2024-02-07,51097.36692104687,46980.50086737244,55242.29840220342
2024-02-08,51331.992244108405,47363.803727681174,55235.92606656117
2024-02-09,51682.23982563402,47851.362890905075,55648.31276880385
2024-02-10,51958.96371641467,47958.840167179216,56171.83167602044
2024-02-11,52293.12072248264,48283.710027206405,56400.35111247805
2024-02-12,52815.61749425399,48864.55345166062,57107.67527209554
2024-02-13,52923.45564232437,48679.576898976404,57035.2277748155
2024-02-14,53229.72211351545,49133.416824348875,57031.232785556844
2024-02-15,53464.34743657695,49567.55253736941,57669.31828113252
2024-02-16,53814.59501810274,49828.7205168719,57874.90479601817
2024-02-17,54091.31890888318,50093.35161150625,58339.32068092299
2024-02-18,54425.4759149511,50452.26324531163,58700.1098839602
2024-02-19,54947.97268672229,50564.48177348575,59119.71871799308
2024-02-20,55055.81083479327,50879.58968742091,59171.685830603325
2024-02-21,55362.07730598397,51347.318027529596,59370.8342452429
2024-02-22,55596.702629045096,51297.943889535476,59739.33322745107
2024-02-23,55946.950210570554,52170.807255652835,59959.621376902745
2024-02-24,56223.67410135171,52044.06392389966,60362.857775622244
2024-02-25,56557.831107418926,52460.80244477831,60849.8734538652
2024-02-26,57080.32787919076,53051.10805413861,61120.4320043411
2024-02-27,57188.16602726159,53114.144837925225,61339.38962789914
2024-02-28,57494.4324956969,53352.069738698294,61512.746323400934
2024-02-29,57729.0578160029,53621.784809130826,62075.174044943335
2024-03-01,58079.30539477318,54215.24441810873,62331.23780956018
2024-03-02,58356.029282798685,53939.25773526968,62574.34635345552
2024-03-03,58690.186286110504,54551.05100615281,62560.60598532106
2024-03-04,59212.6830551268,55116.3214512675,63312.30818897984
2024-03-05,59320.52120044228,55056.4292261044,63605.291435591185
2024-03-06,59626.787668877325,55841.803164607176,63689.32708573878
2024-03-07,59861.41298918359,55779.31860541432,64096.738971075094
2024-03-08,60211.66056795379,56109.43069619911,64262.05326810111
2024-03-09,60488.38445597909,56166.68109631672,64692.32104097721
2024-03-10,60822.54145929162,56680.33453309578,64909.917896232
2024-03-11,61345.03822830761,57222.63617257403,65652.24389937268
2024-03-12,61452.87637362289,57413.69792502285,65463.76630289602
2024-03-13,61759.142842058216,57522.56358433882,65977.68772113638
2024-03-14,61993.76816236445,57952.17484503659,66237.71718821282
2024-03-15,62344.01574113485,58498.48092321805,66645.48644852996
2024-03-16,62620.73962916037,58657.75708258009,66527.87634252734
2024-03-17,62954.896632472075,58964.084032486644,67092.21661121724
2024-03-18,63477.3934014883,59318.34280947229,67939.53049140931
2024-03-19,63585.231546803516,59280.50312734701,67684.53036587374
2024-03-20,63713.643781360304,59577.55513434781,67783.53695673219
2024-03-21,63770.41486778733,59754.88634771518,68329.0152117816
2024-03-22,63942.80821267909,59745.98780760765,68076.3213599754
2024-03-23,64041.6778668256,60018.21687152375,68144.2525279307
2024-03-24,64197.980636259235,60252.89118096695,68227.11257151705
2024-03-25,64542.62317139636,60416.176788913785,68726.92632449289
2024-03-26,64472.6070828326,60666.15903586091,68644.12341349397
2024-03-27,64601.019317389466,60486.35831974783,68819.2989256385
2024-03-28,64657.79040381707,60401.73242882485,68638.46015856772
2024-03-29,64830.18374870837,60813.80763391179,69003.88317208536
